match_id,radiant_win,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9,player_10
5214414379,True,64,40,93,14,17,56,26,75,87,54
5214414380,False,64,49,46,12,110,44,6,84,96,9
5214414381,True,3,27,84,114,53,126,14,102,12,76
5214414382,False,83,34,100,42,62,1,36,20,104,84
5214414383,True,6,112,74,21,88,63,57,91,13,35
5214414384,True,86,35,20,120,62,93,14,7,40,68
5214414385,True,47,19,36,88,11,67,111,9,121,104
5214414386,False,26,85,69,11,93,94,42,14,64,54
5214414387,True,56,44,15,94,128,5,28,32,62,43
5214414388,False,100,32,62,68,44,21,84,80,83,8
5214414389,True,28,74,58,93,84,109,108,119,6,14
5214414390,False,46,107,6,14,35,9,2,102,37,93
5214414391,False,44,21,8,105,12,14,7,36,22,91
5214414396,False,5,39,42,63,99,47,107,40,62,18
5214414397,False,34,54,26,5,2,74,50,93,39,108
5214414398,True,8,12,87,21,104,82,40,93,64,108
5214414399,False,44,9,87,99,75,41,68,47,101,21
5214414407,True,126,94,28,69,14,54,5,105,104,106
5214414408,False,112,32,11,14,50,46,63,88,104,31
5214414409,True,93,126,108,50,20,74,33,44,14,39
5214414410,True,17,2,26,44,35,114,53,104,18,6
5214414411,True,72,45,44,2,90,21,100,95,11,14
5214414412,True,104,27,22,89,25,61,26,108,7,35
5214414413,True,93,84,22,14,29,98,71,39,27,41
5214414415,True,31,26,13,114,23,38,86,101,80,25
5214414416,False,5,8,92,104,87,33,67,26,126,36
5214414417,True,22,2,86,54,30,126,11,93,83,128
5214414418,True,4,84,83,35,44,100,93,14,56,101
5214414419,True,32,47,58,6,91,79,104,42,41,22
5214414429,False,88,99,19,12,27,73,97,110,71,129
5214414430,True,87,16,63,12,94,7,64,84,62,8
5214414431,False,128,50,35,12,104,13,2,9,44,84
5214414432,True,4,26,104,74,112,2,13,93,84,14
5214414433,False,113,63,94,40,93,81,39,2,105,120
5214414434,False,71,26,93,63,65,14,37,84,98,35
5214414435,False,75,29,22,30,70,86,67,4,58,71
5214414436,True,44,16,23,35,75,26,58,102,114,10
5214414438,True,87,7,8,94,99,27,83,4,63,1
5214414439,False,93,31,129,87,119,2,14,27,8,101
5214414440,True,120,31,106,40,126,16,93,74,35,62
