match_id,radiant_win,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9,player_10
5214384376,False,54,33,84,111,36,12,70,44,119,41
5214384377,True,52,54,68,88,46,2,11,53,19,8
5214384378,False,114,53,26,45,70,31,63,7,95,23
5214384379,False,59,114,26,80,74,5,17,2,6,50
5214384380,False,2,54,39,66,8,110,14,63,51,35
5214384381,False,28,3,35,69,121,114,83,56,84,8
5214384382,False,107,82,34,93,6,96,35,4,59,104
5214384387,True,87,126,120,34,65,32,51,91,13,70
5214384388,True,40,30,108,35,48,37,70,21,17,110
5214384390,True,93,19,120,39,5,100,87,60,97,14
5214384391,False,22,108,29,54,50,18,15,112,6,68
5214384392,True,82,36,53,93,50,102,6,7,30,14
5214384393,False,2,25,5,41,21,44,112,19,101,54
5214384394,True,93,35,23,47,26,5,21,1,60,128
5214384400,True,75,104,114,5,48,21,126,105,99,44
5214384401,True,110,32,41,10,53,40,104,30,6,114
5214384402,False,1,63,128,47,49,100,41,101,15,60
5214384404,True,99,34,62,14,21,1,82,22,32,28
5214384405,False,86,14,22,108,42,93,87,84,21,104
5214384406,False,76,67,106,74,5,80,87,9,44,73
5214384410,True,110,96,109,83,15,105,41,120,112,108
5214384411,False,21,112,13,70,110,42,44,76,64,74
5214384412,False,37,11,9,14,7,12,17,121,20,110
5214384413,True,54,75,11,28,19,74,97,100,128,70
5214384415,False,14,25,94,84,58,71,16,4,5,74
5214384416,True,35,70,14,7,95,104,82,59,101,41
5214384418,False,29,1,83,46,22,68,32,129,86,11
5214384419,False,67,101,37,120,48,44,1,35,2,5
5214384420,True,93,74,32,5,112,19,99,71,23,26
5214384422,True,41,17,36,83,4,93,39,26,110,2
5214384423,True,2,21,26,63,15,8,5,70,44,121
5214384425,False,109,14,49,10,26,120,114,101,83,33
5214384426,True,14,35,46,26,71,54,4,8,36,25
5214384428,True,21,6,70,126,14,100,97,93,105,128
5214384429,True,105,14,27,74,93,41,91,28,68,13
5214384430,False,59,88,26,4,113,56,60,86,6,90
5214384431,True,17,72,96,75,84,14,58,12,104,30
5214384432,False,15,85,9,51,93,126,121,12,69,71
5214384433,True,36,92,7,39,84,19,21,12,28,6
5214384440,True,128,14,94,8,121,48,27,63,89,45
5214384441,True,8,71,104,74,25,82,7,5,16,97
5214384442,True,49,59,40,70,5,104,68,14,93,30
5214384443,False,8,104,27,37,126,95,59,26,5,74
5214384444,True,126,22,9,95,1,99,47,17,63,54
5214384445,False,95,46,26,54,84,74,18,30,5,12
5214384446,True,50,2,14,72,74,93,101,40,104,88
5214384447,True,59,62,93,25,104,98,14,50,9,54
5214384452,False,93,59,121,29,25,31,46,107,69,32
5214384453,False,15,26,111,106,14,28,64,4,75,22
5214384454,False,26,34,119,120,106,86,102,11,1,121
5214384455,True,61,108,93,105,35,43,63,7,98,9
5214384456,True,9,6,2,11,84,35,50,41,53,29
5214384457,True,114,74,86,129,119,16,68,83,1,76
5214384458,True,41,14,21,25,7,86,26,94,2,114
5214384459,False,72,59,36,40,54,1,14,26,120,80
5214384465,False,44,18,84,43,107,1,102,30,93,39
5214384466,True,4,87,70,74,27,25,21,93,59,71
5214384467,True,100,98,67,40,114,10,14,46,112,23
5214384468,True,15,102,74,57,21,29,14,86,72,93
5214384469,False,74,64,44,84,60,17,14,4,69,26
